metric,label,mean,median,std
label_correlation,false,0.1876666666666667,0.165,0.2081889614704894
label_correlation,half_true,0.7859999999999997,0.83,0.11409614820178093
label_correlation,mostly_false,0.7529999999999999,0.83,0.14196041216018518
label_correlation,mostly_true,0.7683333333333336,0.67,0.1981828367483148
label_correlation,pof,0.17600000000000002,0.33,0.1674473669236252
label_correlation,true,0.7016666666666668,0.67,0.20296225797157347
layman_xai_truthfulness,false,0.5240000000000001,0.57,0.154553862946625
layman_xai_truthfulness,half_true,0.5423333333333333,0.57,0.20587380355087856
layman_xai_truthfulness,mostly_false,0.58,0.57,0.15846243980068653
layman_xai_truthfulness,mostly_true,0.4669999999999999,0.43,0.14751154250570964
layman_xai_truthfulness,pof,0.5186666666666666,0.57,0.15960583632344322
layman_xai_truthfulness,true,0.49066666666666664,0.57,0.15460591355361256
short_assessment_truthfulness,false,0.7333333333333333,1.0,0.44977644510880366
short_assessment_truthfulness,half_true,0.7666666666666667,1.0,0.43018306715207627
short_assessment_truthfulness,mostly_false,0.8,1.0,0.4068381021724863
short_assessment_truthfulness,mostly_true,0.6666666666666666,1.0,0.47946330148538413
short_assessment_truthfulness,pof,0.7333333333333333,1.0,0.4497764451088037
short_assessment_truthfulness,true,0.7,1.0,0.46609159969939906
technical_assessment_clarity,false,0.7666666666666667,1.0,0.43018306715207627
technical_assessment_clarity,half_true,0.6333333333333333,1.0,0.4901325178535609
technical_assessment_clarity,mostly_false,0.6333333333333333,1.0,0.4901325178535609
technical_assessment_clarity,mostly_true,0.6333333333333333,1.0,0.4901325178535609
technical_assessment_clarity,pof,0.6333333333333333,1.0,0.4901325178535609
technical_assessment_clarity,true,0.5666666666666667,1.0,0.5040069329937308
technical_xai_clarity,false,0.5376666666666666,0.57,0.16931267409498735
technical_xai_clarity,half_true,0.45799999999999996,0.43,0.11856614624117104
technical_xai_clarity,mostly_false,0.44733333333333325,0.43,0.17381983009234972
technical_xai_clarity,mostly_true,0.39166666666666655,0.36,0.18654912144698957
technical_xai_clarity,pof,0.5326666666666667,0.57,0.1322206445702588
technical_xai_clarity,true,0.4716666666666666,0.43,0.18129958695453513
xai_description_truthfulness,false,0.4526666666666666,0.43,0.17921155545665965
xai_description_truthfulness,half_true,0.4293333333333333,0.43,0.13403379227368137
xai_description_truthfulness,mostly_false,0.3489999999999999,0.29,0.17493545607767294
xai_description_truthfulness,mostly_true,0.30133333333333323,0.29,0.14736146816196755
xai_description_truthfulness,pof,0.4856666666666667,0.5,0.13644964546354246
xai_description_truthfulness,true,0.42433333333333334,0.43,0.1640580917579635
