metric,label,count,mean,median,std,min,max,p25,p75
layman_xai_truthfulness,false,24,0.3104166666666666,0.29,0.13854772107289515,0.14,0.57,0.14,0.43
layman_xai_truthfulness,half_true,24,0.35749999999999993,0.36,0.2013918956963609,0.0,0.71,0.2525,0.46499999999999997
layman_xai_truthfulness,mostly_false,24,0.3175,0.29,0.13316384154736666,0.0,0.57,0.29,0.43
layman_xai_truthfulness,mostly_true,24,0.29291666666666666,0.29,0.1374449824053457,0.0,0.57,0.14,0.43
layman_xai_truthfulness,pof,24,0.345,0.29,0.20145125637645492,0.0,0.71,0.14,0.46499999999999997
layman_xai_truthfulness,true,23,0.28130434782608693,0.29,0.13329067169931785,0.0,0.57,0.215,0.29
short_assessment_truthfulness,false,24,0.625,1.0,0.49453535504684026,0.0,1.0,0.0,1.0
short_assessment_truthfulness,half_true,24,0.6666666666666666,1.0,0.48154341234307685,0.0,1.0,0.0,1.0
short_assessment_truthfulness,mostly_false,24,0.75,1.0,0.4423258684646914,0.0,1.0,0.75,1.0
short_assessment_truthfulness,mostly_true,24,0.6666666666666666,1.0,0.48154341234307685,0.0,1.0,0.0,1.0
short_assessment_truthfulness,pof,24,0.75,1.0,0.4423258684646914,0.0,1.0,0.75,1.0
short_assessment_truthfulness,true,22,0.5,0.5,0.511766315719159,0.0,1.0,0.0,1.0
technical_assessment_clarity,false,24,0.5,0.5,0.5107539184552492,0.0,1.0,0.0,1.0
technical_assessment_clarity,half_true,24,0.5833333333333334,1.0,0.5036101551853349,0.0,1.0,0.0,1.0
technical_assessment_clarity,mostly_false,24,0.7083333333333334,1.0,0.4643056214875365,0.0,1.0,0.0,1.0
technical_assessment_clarity,mostly_true,24,0.6666666666666666,1.0,0.48154341234307685,0.0,1.0,0.0,1.0
technical_assessment_clarity,pof,24,0.5833333333333334,1.0,0.5036101551853349,0.0,1.0,0.0,1.0
technical_assessment_clarity,true,23,0.5652173913043478,1.0,0.5068698018697018,0.0,1.0,0.0,1.0
technical_xai_clarity,false,24,0.3095833333333334,0.29,0.15682943287053216,0.14,0.57,0.14,0.43
technical_xai_clarity,half_true,24,0.31625,0.36,0.16378173439593052,0.0,0.57,0.14,0.43
technical_xai_clarity,mostly_false,24,0.2691666666666666,0.29,0.12988010078418533,0.0,0.57,0.14,0.29
technical_xai_clarity,mostly_true,24,0.2808333333333333,0.29,0.14989609928116923,0.0,0.57,0.14,0.43
technical_xai_clarity,pof,24,0.4058333333333333,0.43,0.17024066511257235,0.0,0.71,0.29,0.57
technical_xai_clarity,true,23,0.2739130434782608,0.29,0.15017381234104527,0.0,0.43,0.14,0.43
xai_description_truthfulness,false,24,0.29250000000000004,0.29,0.14353457392922261,0.14,0.71,0.14,0.43
xai_description_truthfulness,half_true,24,0.3116666666666667,0.29,0.137419278018095,0.0,0.57,0.29,0.32499999999999996
xai_description_truthfulness,mostly_false,24,0.2508333333333333,0.29,0.12971261433970319,0.0,0.57,0.14,0.29
xai_description_truthfulness,mostly_true,24,0.30374999999999996,0.29,0.14330910647966513,0.14,0.57,0.14,0.43
xai_description_truthfulness,pof,24,0.3766666666666667,0.36,0.13722931194890914,0.14,0.71,0.29,0.43
xai_description_truthfulness,true,23,0.25478260869565217,0.29,0.1830268128697241,0.0,0.71,0.14,0.36
